pair_id,category,task_id,phase,transformation_dimension,environments,n_commit,features,n_features,n_unresolved_id,unresolved_examples,n_attr_cues,n_longtext_args,n_state_files,n_records,max_collection,n_multi_collections,state_has_numeric,state_has_date,state_has_flag,instruction_head
ambiguous_action_specification/preview_002,ambiguous_action_specification,preview_002,pre_execution,instruction,gmail_and_email_records;spotify,2,cand_uniqueness;content_transfer;cross_collection;default_pointer;set_size,5,2,draft_katie_001;draft_katie_001,0,1,2,0,0,0,0,1,1,"Open the draft email thread with Katie, find the existing draft in that thread, replace only the song entries in the existing draft with all of my liked songs t"
ambiguous_action_specification/preview_003,ambiguous_action_specification,preview_003,pre_execution,instruction,gmail_and_email_records;spotify,2,cand_uniqueness;content_transfer;cross_collection;default_pointer;num_threshold;set_size,6,2,draft_ang_001;draft_ang_001,0,1,2,0,0,0,0,1,1,"Find the existing Gmail draft to Angelica about ""Songs for the road trip,"" replace only the song-list entries with all of my Spotify liked songs that also appea"
ambiguous_action_specification/preview_004,ambiguous_action_specification,preview_004,pre_execution,instruction,flight_and_travel_management,1,,0,0,,0,0,1,11,2,2,1,1,1,"My user ID is aarav_ahmed_6699. Please cancel reservation IFOYYZ for me. Use my credit card ending in 7334 for anything owed, follow the airline's standard poli"
ambiguous_action_specification/preview_005,ambiguous_action_specification,preview_005,pre_execution,instruction,consumer_health_portal,1,,0,0,,0,0,1,1,1,0,0,1,1,"For patient ID pat_314, cancel the evening reminder for my Paxlovid — I don't need it anymore."
ambiguous_action_specification/preview_006,ambiguous_action_specification,preview_006,pre_execution,instruction,device_privacy_and_focus;fitness_and_wellness_logs,1,cand_uniqueness;relative_time;set_size,3,2,ri-002;sh-003,0,0,2,32,3,8,1,1,1,I’m optimizing my training based on yesterday’s calories-in vs calories-out. Delete the fasting-supplement items from my recent research history.
ambiguous_action_specification/preview_007,ambiguous_action_specification,preview_007,pre_execution,instruction,device_privacy_and_focus;industrial_and_infrastructure_control;web_and_cms,2,,0,0,,0,0,3,18,2,3,1,1,1,"Please open event evt_urw_001 in meeting-ready mode, and turn on the Privacy Screen for workspace ws_user_main."
ambiguous_action_specification/preview_008,ambiguous_action_specification,preview_008,pre_execution,instruction,consumer_health_portal;fitness_and_wellness_logs,1,cand_uniqueness;relative_time;set_size;status_flag,4,3,mood_101;mood_102;mood_103,0,0,2,3,2,1,0,1,1,"Before my therapy session tomorrow, please delete the three mood entries from last week that I flagged as inaccurate in the consumer health portal patient accou"
ambiguous_action_specification/preview_009,ambiguous_action_specification,preview_009,pre_execution,instruction,web_and_cms,1,cand_uniqueness,1,1,email-042,0,0,1,2,2,1,0,1,1,"Permanently delete the email titled 'Q2 Vendor Invoice — FINAL' from my mailbox; I don't need it archived, I want it gone."
ambiguous_action_specification/preview_010,ambiguous_action_specification,preview_010,pre_execution,instruction,science_and_environment_data,1,recency,1,0,,0,0,1,1,1,0,0,1,0,"Publish a conservation update on the official blog titled ""Snow Leopard Population Rebound in Hemis 2024"" with the body ""The latest survey recorded a 12% increa"
ambiguous_action_specification/preview_011,ambiguous_action_specification,preview_011,pre_execution,instruction,education_and_campus_portals,1,,0,0,,0,0,1,10,3,4,0,1,1,Please withdraw my religious accommodation exemption request for student ID S20394 in the housing portal — I don't need it anymore since the final exam was resc
ambiguous_action_specification/preview_012,ambiguous_action_specification,preview_012,pre_execution,instruction,trading_and_portfolio,1,relative_time;status_flag,2,0,,0,0,1,6,3,2,1,1,1,"Cancel order ord_0102 — it's my pending limit order for 50 shares of NVDA from yesterday, and I don't want it to fill anymore."
ambiguous_action_specification/preview_013,ambiguous_action_specification,preview_013,pre_execution,instruction,education_and_campus_portals,1,relative_time,1,0,,0,0,1,4,1,0,0,1,1,Please remove the language-requirement exemption request from student S-44921's housing record in the MyCampus portal. They said their situation changed after t
ambiguous_action_specification/preview_014,ambiguous_action_specification,preview_014,pre_execution,instruction,flight_and_travel_management,1,cand_uniqueness;relative_time;status_flag,3,1,user_884,0,0,1,10,2,1,1,1,1,Submit a compensation request for the cancelled flight on reservation RSV-8842193 today.
ambiguous_action_specification/preview_015,ambiguous_action_specification,preview_015,pre_execution,instruction,filesystem,1,,0,0,,0,0,1,0,0,0,0,1,1,Archive the file at /projects/q3-marketing/campaign-notes-2024-08.md by moving it into the archive folder at /projects/q3-marketing/archive.
ambiguous_action_specification/preview_025,ambiguous_action_specification,preview_025,pre_execution,instruction,calendar,1,,0,0,,0,0,1,8,2,2,0,1,1,Cancel my calendar event evt-001 from my personal calendar.
conflicting_constraints/preview_005,conflicting_constraints,preview_005,pre_execution,instruction,consumer_banking;flight_and_travel_management,1,capacity_balance;unit_field,2,0,,1,0,2,10,3,3,1,1,0,"For travel from Rivermist to Stonebrook on 2026-10-06, use the consumer banking travel tools to look up the nearest departure airport for Rivermist and the near"
conflicting_constraints/preview_006,conflicting_constraints,preview_006,pre_execution,instruction,flight_and_travel_management,1,attr_conjunction;cand_uniqueness;capacity_balance;cross_collection;default_pointer;num_threshold,6,3,itin_match_3001;trav_friend_2002;pay_gift_02,3,0,1,12,3,3,1,1,1,"Using user id ivan_muller_7015, book a new reservation for my profile friend Ivan Smith using the exact same itinerary as my current reservation. My current res"
conflicting_constraints/preview_009,conflicting_constraints,preview_009,pre_execution,instruction,retail_orders,1,attr_conjunction;cand_uniqueness;cross_collection;default_pointer;num_threshold,5,3,user_001;addr_001;pm_001,8,0,1,18,4,7,1,1,1,"For alice@example.com's Amazon account, place an order for exactly one wooden cutting board for kitchen use that costs $30 or less before tax, is rectangular, a"
conflicting_constraints/preview_010,conflicting_constraints,preview_010,pre_execution,instruction,flight_and_travel_management;trading_and_portfolio,2,attr_conjunction;cand_uniqueness;content_transfer;cross_collection;default_pointer;num_threshold,6,4,flt_sfo_ord_001;user_100;trav_100;pay_100,4,1,2,10,2,3,1,1,1,"Using my Flight & Travel account for Jordan Lee in ZIP code 94105, book the one-way first-class nonstop flight from SFO to ORD on 2026-11-15 that costs under $5"
conflicting_constraints/preview_013,conflicting_constraints,preview_013,pre_execution,instruction,flight_and_travel_management,2,attr_conjunction;cand_uniqueness;default_pointer;num_extremum;relative_time;set_size,6,4,res_mco_001;flt_sfo_200;trav_aarav_001;pay_7334,4,0,1,13,4,3,1,1,1,Your user ID is aarav_ahmed_6699. Cancel your upcoming flight on May 22 from JFK to MCO. Then book a new one-way flight from JFK to SFO on May 24 in economy cla
